,P,Q,mean voltage p.u.
2023-07-17 23:00:00,-3,0,"0,9959547919492152"
2023-07-17 23:01:00,-3,0,"0,9967726109207808"
2023-07-17 23:02:00,-3,0,"0,9969357617427976"
2023-07-17 23:03:00,-3,0,"0,9969357483927944"
2023-07-17 23:04:00,-2706375,42,"0,9965915203501522"
2023-07-17 23:05:00,-1287,42,"0,9961184962531816"
2023-07-17 23:06:00,-5,0,"0,9949745524296659"
2023-07-17 23:07:00,-3,0,"0,9943201589687923"
2023-07-17 23:08:00,-676827,2,"0,9943155982779532"
2023-07-17 23:09:00,0,2,"0,9943199436644607"
2023-07-17 23:10:00,-3,0,"0,99431994363028"
2023-07-17 23:11:00,-676827,2,"0,9943155982770989"
2023-07-17 23:12:00,705,2,"0,9953558951784289"
2023-07-17 23:13:00,-4,0,"0,9959549721246398"
2023-07-17 23:14:00,-2029790,23,"0,9956148851197512"
2023-07-17 23:15:00,-4059602,23,"0,9949480625106586"
2023-07-17 23:16:00,-2030012,23,"0,9951788806394912"
2023-07-17 23:17:00,1580,23,"0,9959550946490588"
2023-07-17 23:18:00,-4,0,"0,996281791451514"
2023-07-17 23:19:00,-676901,2,"0,9963864285722335"
2023-07-17 23:20:00,-4060858,94,"0,9975636538258016"
2023-07-17 23:21:00,-3,0,"0,9982436507741069"
2023-07-17 23:22:00,-3,0,"0,9976987804215112"
2023-07-17 23:23:00,-3,0,"0,996826845500636"
2023-07-17 23:24:00,-1015237,5,"0,9962752326966333"
2023-07-17 23:25:00,-3,0,"0,9962817378868376"
2023-07-17 23:26:00,-3,0,"0,9964453294862777"
2023-07-17 23:27:00,-3,0,"0,9966088024551166"
2023-07-17 23:28:00,-676827,2,"0,9966044670815896"
2023-07-17 23:29:00,-3,0,"0,9966088024551166"
2023-07-17 23:30:00,-3,0,"0,9967178239778767"
2023-07-17 23:31:00,-3,0,"0,9979167048364289"
2023-07-17 23:32:00,-3,0,"0,9984616938196264"
2023-07-17 23:33:00,-3,0,"0,9985705967117848"
2023-07-17 23:34:00,-3,0,"0,9975897588987513"
2023-07-17 23:35:00,-676827,2,"0,9975854277882973"
2023-07-17 23:36:00,-3,0,"0,997535307452672"
2023-07-17 23:37:00,-3,0,"0,9972628129610736"
2023-07-17 23:38:00,-3,0,"0,9979167048364289"
2023-07-17 23:39:00,-3,0,"0,9979167048364289"
2023-07-17 23:40:00,-3,0,"0,9984615751890247"
2023-07-17 23:41:00,-676827,2,"0,9985118181734814"
2023-07-17 23:42:00,-3,0,"0,9982436507741069"
2023-07-17 23:43:00,-3,0,"0,9976987804215112"
2023-07-17 23:44:00,-3,0,"0,9975897588987513"
2023-07-17 23:45:00,-338416,0,"0,9978055182295192"
