,P,Q,mean voltage p.u.
2023-06-23 23:00:00,-3,0,"1,0008593369062408"
2023-06-23 23:01:00,-3,0,"1,0008593369061305"
2023-06-23 23:02:00,-1353866,10,"1,0010143079667242"
2023-06-23 23:03:00,671,10,"1,00151347190345"
2023-06-23 23:04:00,-3,0,"1,0015133474122055"
2023-06-23 23:05:00,-676606,2,"1,0011821406978876"
2023-06-23 23:06:00,-221,2,"1,0008593889700677"
2023-06-23 23:07:00,-3,0,"1,0005868795235635"
2023-06-23 23:08:00,-3,0,"1,0005323924520833"
2023-06-23 23:09:00,-2030457,23,"1,0005194358946286"
2023-06-23 23:10:00,-640,23,"1,0002054945188097"
2023-06-23 23:11:00,-4,0,"0,9992249696747085"
2023-06-23 23:12:00,-3,0,"0,9988975962952682"
2023-06-23 23:13:00,-676827,2,"0,9988932172097392"
2023-06-23 23:14:00,0,2,"0,9988975426832296"
2023-06-23 23:15:00,-3,0,"0,9988975426495726"
2023-06-23 23:16:00,-676827,2,"0,9988932172093951"
2023-06-23 23:17:00,0,2,"0,9988975426832296"
2023-06-23 23:18:00,-3,0,"0,9988975426495725"
2023-06-23 23:19:00,-676827,2,"0,9988932172095053"
2023-06-23 23:20:00,-2030457,23,"0,9988845663728851"
2023-06-23 23:21:00,-676827,2,"0,9988932172093954"
2023-06-23 23:22:00,-3,0,"0,9986796182345442"
2023-06-23 23:23:00,-3,0,"0,9982981022201859"
2023-06-23 23:24:00,-338416,0,"0,9982414866355219"
2023-06-23 23:25:00,-3,0,"0,9982436507741069"
2023-06-23 23:26:00,-3,0,"0,9984071237429456"
2023-06-23 23:27:00,-3,0,"0,9985705967117848"
2023-06-23 23:28:00,-3,0,"0,9985705967117848"
2023-06-23 23:29:00,-3,0,"0,9986796182345442"
2023-06-23 23:30:00,-3,0,"0,9988975426494624"
2023-06-23 23:31:00,-676827,2,"0,9988932172093954"
2023-06-23 23:32:00,-3,0,"0,9987885211267024"
2023-06-23 23:33:00,-1353645,10,"0,9985619430142941"
2023-06-23 23:34:00,-4060858,94,"0,9984356114396012"
2023-06-23 23:35:00,-3,0,"0,9972626943304722"
2023-06-23 23:36:00,-3,0,"0,9972626943304722"
2023-06-23 23:37:00,-338416,0,"0,9972605280631379"
2023-06-23 23:38:00,-1353645,10,"0,9980715198557069"
2023-06-23 23:39:00,-3,0,"0,9988975426494624"
2023-06-23 23:40:00,-3,0,"0,9988975426494624"
2023-06-23 23:41:00,-1353645,10,"0,999924308631792"
2023-06-23 23:42:00,-3,0,"1,0005323909684525"
2023-06-23 23:43:00,-3,0,"1,0005323909684525"
2023-06-23 23:44:00,-676827,2,"1,0005280725960368"
2023-06-23 23:45:00,-3,0,"1,0005323909684525"
2023-06-23 23:46:00,-3,0,"1,0002598964769642"
2023-06-23 23:47:00,-3,0,"0,9998784990932077"
2023-06-23 23:48:00,-1692052,16,"0,9998676961293318"
2023-06-23 23:49:00,-3,0,"1,000205445030885"
2023-06-23 23:50:00,-3,0,"1,0009683584290003"
2023-06-23 23:51:00,-3,0,"1,0011864014745202"
2023-06-23 23:52:00,-1353645,10,"1,0011777703864315"
2023-06-23 23:53:00,-3,0,"1,0015133474121978"
2023-06-23 23:54:00,-3,0,"1,0015133474121978"
2023-06-23 23:55:00,-676827,2,"1,0017270772541715"
2023-06-23 23:56:00,-3,0,"1,001840411980477"
2023-06-23 23:57:00,-3,0,"1,001840411980477"
2023-06-23 23:58:00,-1353645,10,"1,0012867928490523"
