,P,Q,mean voltage p.u.
2023-10-04 23:00:00,-3,0,"0,9869631261948234"
2023-10-04 23:01:00,-3,0,"0,986146040539547"
2023-10-04 23:02:00,-3,0,"0,9861457020354408"
2023-10-04 23:03:00,-3,0,"0,9861457020353281"
2023-10-04 23:04:00,-3,0,"0,9861457020353825"
2023-10-04 23:05:00,-3,0,"0,9861457020353824"
2023-10-04 23:06:00,-4059958,96,"0,9859014543963117"
2023-10-04 23:07:00,-677129,67,"0,9858143184067488"
2023-10-04 23:08:00,186,2,"0,9860912301802188"
2023-10-04 23:09:00,-3,0,"0,9860366820213872"
2023-10-04 23:10:00,-1353345,10,"0,9858099571802504"
2023-10-04 23:11:00,8,10,"0,9858186969226462"
2023-10-04 23:12:00,-3,0,"0,9859821833051376"
2023-10-04 23:13:00,-3,0,"0,9861457155945869"
2023-10-04 23:14:00,-4060855,96,"0,9861194140345412"
2023-10-04 23:15:00,-1354356,43,"0,9858644756208504"
2023-10-04 23:16:00,-1337,10,"0,9848927898450035"
2023-10-04 23:17:00,-4,0,"0,9840207618852052"
2023-10-04 23:18:00,-3,0,"0,981571100458697"
2023-10-04 23:19:00,-676374,2,"0,9809099698762842"
2023-10-04 23:20:00,-3,0,"0,9805872058877552"
2023-10-04 23:21:00,-3,0,"0,9805872058877552"
2023-10-04 23:22:00,-1015236,6,"0,9805805965809896"
2023-10-04 23:23:00,-1015236,6,"0,9813980262454289"
2023-10-04 23:24:00,-3,0,"0,9809141518254328"
2023-10-04 23:25:00,62792,-97069388,"0,9787121526574863"
2023-10-04 23:26:00,-3,0,"0,9801511197966618"
2023-10-04 23:27:00,-1015236,6,"0,9812344928607148"
2023-10-04 23:28:00,-3,0,"0,9819496190303932"
2023-10-04 23:29:00,-3,0,"0,9822220542067452"
2023-10-04 23:30:00,-3,0,"0,9822220542067452"
2023-10-04 23:31:00,-338416,0,"0,9822198547676972"
2023-10-04 23:32:00,-3,0,"0,9835299565880038"
2023-10-04 23:33:00,-3,0,"0,9841838484633597"
2023-10-04 23:34:00,-3,0,"0,9847288374466109"
2023-10-04 23:35:00,-3,0,"0,98483779965407"
2023-10-04 23:36:00,-3,0,"0,98483779965407"
2023-10-04 23:37:00,-3,0,"0,984674326685231"
2023-10-04 23:38:00,-3,0,"0,9842928699861732"
2023-10-04 23:39:00,-3,0,"0,9838569025256816"
2023-10-04 23:40:00,-3,0,"0,9838569025256816"
2023-10-04 23:41:00,-3,0,"0,9838569025256816"
2023-10-04 23:42:00,-3,0,"0,9838569025256816"
2023-10-04 23:43:00,-676827,2,"0,9838525109610023"
2023-10-04 23:44:00,-3,0,"0,9838569025256816"
2023-10-04 23:45:00,-3,0,"0,9838569025256816"
2023-10-04 23:46:00,-3,0,"0,9839114132871155"
2023-10-04 23:47:00,-2030456,24,"0,9841706781915962"
2023-10-04 23:48:00,-338416,0,"0,9841816534084914"
2023-10-04 23:49:00,-3,0,"0,9841838484633597"
2023-10-04 23:50:00,-3,0,"0,9841838484633597"
2023-10-04 23:51:00,-3,0,"0,9841838484633597"
2023-10-04 23:52:00,-3,0,"0,9841838484633597"
2023-10-04 23:53:00,-3,0,"0,9842928699861732"
2023-10-04 23:54:00,-3,0,"0,9850557833842888"
2023-10-04 23:55:00,-3,0,"0,9851647455916931"
2023-10-04 23:56:00,-3,0,"0,9850557833842888"
2023-10-04 23:57:00,-3,0,"0,9845108537163924"
2023-10-04 23:58:00,-3384061,67,"0,9844889106337552"
2023-10-04 23:59:00,-3,0,"0,9834209350652984"
2023-10-05 00:00:00,-3,0,"0,9871266584789629"
2023-10-05 00:01:00,-3,0,"0,9877805503543731"
