,P,Q,mean voltage p.u.
2023-09-19 23:00:00,-3,0,"1,0015133474121978"
2023-09-19 23:01:00,-3,0,"1,0015133474121978"
2023-09-19 23:02:00,-3,0,"1,0015133474121978"
2023-09-19 23:03:00,-1015237,5,"1,001506876203006"
2023-09-19 23:04:00,-438,5,"1,0010774721010318"
2023-09-19 23:05:00,-3,0,"1,0006415074629853"
2023-09-19 23:06:00,-1353055,10,"1,0001969042570984"
2023-09-19 23:07:00,-875,10,"0,9995517614504424"
2023-09-19 23:08:00,-3,0,"0,9999876156015687"
2023-09-19 23:09:00,-2031785,23,"1,00062866408765"
2023-09-19 23:10:00,-676523,10,"1,0008551642686363"
2023-09-19 23:11:00,0,2,"1,000859455570279"
2023-09-19 23:12:00,-3,0,"1,0005324444081505"
2023-09-19 23:13:00,-676827,2,"1,0005280725963792"
2023-09-19 23:14:00,109,2,"1,0006958780312307"
2023-09-19 23:15:00,-3,0,"1,0008593502563528"
2023-09-19 23:16:00,-3,0,"1,0008593369062408"
2023-09-19 23:17:00,-1353719,10,"1,0009052745619087"
2023-09-19 23:18:00,524,10,"1,0012954991333511"
2023-09-19 23:19:00,-3,0,"1,0018405602533953"
2023-09-19 23:20:00,-1353645,10,"1,0018317865268025"
2023-09-19 23:21:00,-1692052,16,"1,0028104785304646"
2023-09-19 23:22:00,-3,0,"1,0046740225274189"
2023-09-19 23:23:00,-3,0,"1,0061455165082829"
2023-09-19 23:24:00,-3,0,"1,006417892369169"
2023-09-19 23:25:00,-1015237,5,"1,0058664602235177"
2023-09-19 23:26:00,-3,0,"1,005764000493813"
2023-09-19 23:27:00,-3,0,"1,005764000493813"
2023-09-19 23:28:00,-1353645,10,"1,0067362548723708"
2023-09-19 23:29:00,-3,0,"1,0067448383068467"
2023-09-19 23:30:00,-3,0,"1,0077257947504814"
2023-09-19 23:31:00,-3,0,"1,0080527406882704"
2023-09-19 23:32:00,-338416,0,"1,0080505976082996"
2023-09-19 23:33:00,-3,0,"1,0080527406882704"
2023-09-19 23:34:00,-3,0,"1,0080527406882704"
2023-09-19 23:35:00,-1353645,10,"1,008044168390333"
2023-09-19 23:36:00,-338416,0,"1,008214070924507"
2023-09-19 23:37:00,-3,0,"1,0083796866258372"
2023-09-19 23:38:00,-3,0,"1,0083796866258372"
2023-09-19 23:39:00,-338416,0,"1,0083775442407137"
2023-09-19 23:40:00,-3,0,"1,0083796866258372"
2023-09-19 23:41:00,-3,0,"1,0083796866258372"
2023-09-19 23:42:00,-338416,0,"1,008214070924507"
2023-09-19 23:43:00,-3,0,"1,0080527406882704"
2023-09-19 23:44:00,-3,0,"1,0083796866258372"
2023-09-19 23:45:00,-3,0,"1,0090336971319056"
2023-09-19 23:46:00,-676827,2,"1,0084844238452022"
2023-09-19 23:47:00,-3,0,"1,0061998493237607"
2023-09-19 23:48:00,-3,0,"1,005764000493813"
2023-09-19 23:49:00,-3045665,52,"1,0057446690124332"
2023-09-19 23:50:00,-3,0,"1,0054370545562463"
2023-09-19 23:51:00,-3,0,"1,0051099899879674"
2023-09-19 23:52:00,-3,0,"1,0051099899879674"
2023-09-19 23:53:00,-3,0,"1,005764000493813"
2023-09-19 23:54:00,-3,0,"1,005764000493813"
2023-09-19 23:55:00,-3,0,"1,0056549789710536"
2023-09-19 23:56:00,-1353645,10,"1,0052648669592146"
2023-09-19 23:57:00,-3,0,"1,0069083112757966"
2023-09-19 23:58:00,-3,0,"1,0068538598296064"
2023-09-19 23:59:00,-676827,2,"1,0057597045838844"
2023-09-20 00:00:00,-3,0,"1,0055459574484047"
2023-09-20 00:01:00,-3,0,"1,0083252351798693"
2023-09-20 00:02:00,-3,0,"1,0093606430694717"
2023-09-20 00:03:00,-1353656,-316442,"1,0100041871020344"
2023-09-20 00:04:00,0,-768528,"1,010010182675042"
2023-09-20 00:05:00,0,-768528,"1,010010182675042"
2023-09-20 00:06:00,-1353656,-316442,"1,0100041871020344"
2023-09-20 00:07:00,-4060860,92,"1,007918118296431"
2023-09-20 00:08:00,-4060860,92,"1,0071551854167509"
2023-09-20 00:09:00,-2707264,41,"1,0068366948781948"
2023-09-20 00:10:00,-3,0,"1,0073988488128036"
2023-09-20 00:11:00,-3,0,"1,0071809243978858"
2023-09-20 00:12:00,-1353645,10,"1,0067363735039836"
2023-09-20 00:13:00,-2030457,23,"1,006840986092546"
2023-09-20 00:14:00,-3,0,"1,0079438377961123"
2023-09-20 00:15:00,-3,0,"1,0080527406882704"
2023-09-20 00:16:00,-3,0,"1,0080527406882704"
2023-09-20 00:17:00,-3,0,"1,0080527406882704"
2023-09-20 00:18:00,-3,0,"1,0091426000239525"
2023-09-20 00:19:00,-1353645,10,"1,0097880530358143"
2023-09-20 00:20:00,-1351721,-17591970,"1,0102333309558928"
2023-09-20 00:21:00,8,-18045248,"1,0102393050479637"
2023-09-20 00:22:00,4897,4401,"1,0094697205236287"
2023-09-20 00:23:00,-676091,7,"1,0083759950001987"
2023-09-20 00:24:00,71,2,"1,0084887144717465"
2023-09-20 00:25:00,-3,0,"1,0082163690713797"
2023-09-20 00:26:00,-3,0,"1,007181456102044"
2023-09-20 00:27:00,-1691868,16,"1,0070611841997985"
2023-09-20 00:28:00,-1692068,0,"1,0082062687301638"
2023-09-20 00:29:00,2487,16,"1,009688677380595"
2023-09-20 00:30:00,-3,0,"1,0095241294486006"
2023-09-20 00:31:00,-3,0,"1,0093606563074025"
2023-09-20 00:32:00,-2027062,23,"1,0076599151962482"
2023-09-20 00:33:00,-2030479,0,"1,0067325086765713"
2023-09-20 00:34:00,-2030483,0,"1,006732081511038"
2023-09-20 00:35:00,-676818,10,"1,006740665312441"
2023-09-20 00:36:00,-110,2,"1,006581496576958"
2023-09-20 00:37:00,-3,0,"1,006418024276159"
2023-09-20 00:38:00,-676827,2,"1,0064137178816528"
2023-09-20 00:39:00,1101,2,"1,0080541941738057"
2023-09-20 00:40:00,2210,2,"1,0090390259770463"
2023-09-20 00:41:00,-3,0,"1,009033697145865"
2023-09-20 00:42:00,-3,0,"1,009033697131794"
2023-09-20 00:43:00,-3,0,"1,009251645079648"
2023-09-20 00:44:00,0,-774797,"1,010010265808165"
2023-09-20 00:45:00,-331209,-35240347,"1,0104671600394215"
2023-09-20 00:46:00,-3,-35329971,"1,0104685332100265"
2023-09-20 00:47:00,-3,-35329972,"1,01046853320338"
2023-09-20 00:48:00,-2030455,-34652125,"1,0104595441295874"
2023-09-20 00:49:00,3858,-6551435,"1,0100867466845582"
2023-09-20 00:50:00,1699,1527,"1,0096876084310362"
2023-09-20 00:51:00,-676827,2,"1,00968330979099"
2023-09-20 00:52:00,-676830,0,"1,0096833097581288"
2023-09-20 00:53:00,0,2,"1,0096875890398462"
2023-09-20 00:54:00,-3,0,"1,0096875890071495"
2023-09-20 00:55:00,-1013868,-14828133,"1,010196660492821"
