,mean voltage p.u.,P,Q
2023-08-24 22:00:00,"1,0041543245039408",-11,0
2023-08-24 22:01:00,"1,0037143002593507",-11,0
2023-08-24 22:02:00,"1,0030541208070831",-11,0
2023-08-24 22:03:00,"1,0030539035521515",-11,0
2023-08-24 22:04:00,"1,0032739880401913",-11,0
2023-08-24 22:05:00,"1,0033840001058036",-11,0
2023-08-24 22:06:00,"1,0037142581403096",-11,0
2023-08-24 22:07:00,"1,0032740604714523",-11,0
2023-08-24 22:08:00,"1,0034390823360977",-11,0
2023-08-24 22:09:00,"1,002064217536113",-11,0
2023-08-24 22:10:00,"1,0000843333988192",-11,0
2023-08-24 22:11:00,"0,9999722900897056",-10,0
2023-08-24 22:12:00,"1,0010734892481683",-11,0
2023-08-24 22:13:00,"1,001403028323112",-11,0
2023-08-24 22:14:00,"1,00167814692318",-11,0
2023-08-24 22:15:00,"1,001457953790881",-11,0
2023-08-24 22:16:00,"1,0021736793155358",-11,0
2023-08-24 22:17:00,"1,0026687413453592",-11,0
2023-08-24 22:18:00,"1,0038799201060935",-11,0
2023-08-24 22:19:00,"1,0043746258956736",-11,0
2023-08-24 22:20:00,"1,0043745040617351",-11,0
2023-08-24 22:21:00,"1,0043745040617351",-11,0
2023-08-24 22:22:00,"1,0046496391020108",-11,0
2023-08-24 22:23:00,"1,0047047137937817",-11,0
2023-08-24 22:24:00,"1,0047047137937817",-11,0
2023-08-24 22:25:00,"1,0047047137937817",-11,0
2023-08-24 22:26:00,"1,0048147439680342",-11,0
2023-08-24 22:27:00,"1,0053650140485857",-11,0
2023-08-24 22:28:00,"1,006025314303389",-11,0
2023-08-24 22:29:00,"1,006025314303389",-11,0
2023-08-24 22:30:00,"1,00608038899516",-11,0
2023-08-24 22:31:00,"1,0063555240354356",-11,0
2023-08-24 22:32:00,"1,0063555240354356",-11,0
2023-08-24 22:33:00,"1,0063555240354356",-11,0
2023-08-24 22:34:00,"1,008501648875159",-11,0
2023-08-24 22:35:00,"1,0086667537411826",-11,0
2023-08-24 22:36:00,"1,0086667537411826",-11,0
2023-08-24 22:37:00,"1,0084465741833883",-11,0
2023-08-24 22:38:00,"1,0075660943707905",-11,0
2023-08-24 22:39:00,"1,0061354636869309",-11,0
2023-08-24 22:40:00,"1,0056952237806318",-11,0
2023-08-24 22:41:00,"1,0054750442228375",-11,0
2023-08-24 22:42:00,"1,0043194293699642",-11,0
2023-08-24 22:43:00,"1,0040442943296886",-11,0
2023-08-24 22:44:00,"1,0041544437132306",-11,0
2023-08-24 22:45:00,"1,005034804316539",-11,0
2023-08-24 22:46:00,"1,0053650140485857",-11,0
2023-08-24 22:47:00,"1,0053650140485857",-11,0
2023-08-24 22:48:00,"1,0053650140485857",-11,0
2023-08-24 22:49:00,"1,0053650140485857",-11,0
2023-08-24 22:50:00,"1,0049247741422866",-11,0
2023-08-24 22:51:00,"1,0050349235258285",-11,0
2023-08-24 22:52:00,"1,006025314303389",-11,0
2023-08-24 22:53:00,"1,0059152841291368",-11,0
2023-08-24 22:54:00,"1,0053650140485857",-11,0
2023-08-24 22:55:00,"1,0053650140485857",-11,0
2023-08-24 22:56:00,"1,005199909182562",-11,0
2023-08-24 22:57:00,"1,0051449537000807",-11,0
2023-08-24 22:58:00,"1,0053650140485857",-11,0
2023-08-24 22:59:00,"1,0053650140485857",-11,0
2023-08-24 23:00:00,"1,0053650140485857",-11,0
2023-08-24 23:01:00,"1,0055850743970902",-11,0
2023-08-24 23:02:00,"1,006025314303389",-11,0
2023-08-24 23:03:00,"1,006025314303389",-11,0
2023-08-24 23:04:00,"1,0056952237806318",-11,0
2023-08-24 23:05:00,"1,0053650140485857",-11,0
2023-08-24 23:06:00,"1,0053650140485857",-11,0
2023-08-24 23:07:00,"1,0053650140485857",-11,0
2023-08-24 23:08:00,"1,0053650140485857",-11,0
2023-08-24 23:09:00,"1,0053650140485857",-11,0
2023-08-24 23:10:00,"1,0044295787535062",-11,0
2023-08-24 23:11:00,"1,0044845342359876",-11,0
2023-08-24 23:12:00,"1,0050349235258285",-11,0
2023-08-24 23:13:00,"1,005254983874333",-11,0
2023-08-24 23:14:00,"1,0056952237806318",-11,0
2023-08-24 23:15:00,"1,006025314303389",-11,0
2023-08-24 23:16:00,"1,0075111388883091",-11,0
2023-08-24 23:17:00,"1,0076762437543323",-11,0
